TRI Facility Name,TRI Facility ID,Year,ZIP Code,City,County,State,EPA Region,Chemical,DCN,Industry Sector,NAICS Code,Parent Company,Federal Facility Agency Name,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Score
JANKOVICH CO PARAMOUNT FACILTY,90723WSTRN14066,2020,90723,"PARAMOUNT, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1320218870398,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,2.00,0
JANKOVICH CO PARAMOUNT FACILTY,90723WSTRN14066,2020,90723,"PARAMOUNT, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1320218870436,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,0.00,0.00,0.00,5.00,117.00,0
JANKOVICH CO SAN PEDRO MARINE,9073WJNKVC73BER,2019,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1319218516108,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,2.00,0
JANKOVICH CO SAN PEDRO MARINE,9073WJNKVC73BER,2020,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cumene (98-82-8),1320218870362,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,1.00,0
JANKOVICH CO SAN PEDRO MARINE,9073WJNKVC73BER,2020,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cyclohexane (110-82-7),1320218870448,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,7.00,0
JANKOVICH CO SAN PEDRO MARINE,9073WJNKVC73BER,2020,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1320218870386,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,8.00,2
JANKOVICH CO SAN PEDRO MARINE,9073WJNKVC73BER,2020,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1320218870309,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,3.00,24
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2018,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1318217131150,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,6.00,0
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2018,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cumene (98-82-8),1318217131097,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,1.00,0
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2018,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1318217131123,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,1.00,14
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2019,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1319218430383,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,7.00,0
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2019,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cumene (98-82-8),1319218430320,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,1.00,0
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2019,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1319218430332,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,7.00,1
JANKOVICH CO SAN PEDRO MARINE,90731JNKVCBERTH,2019,90731,"SAN PEDRO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1319218430357,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,JANKOVICH CO,       ,5.00,5.00,0.00,0.00,0.00,1.00,14
JERSEYMAID MILK PRODUCTS VONS CO INC,90040JRSYM3361S,2018,90040,"COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1318217171824,311 Food,311511 Fluid Milk Manufacturing,SAFEWAY INC,       ,5.00,5.00,0.00,0.00,0.00,"10,559.00",0
JERSEYMAID MILK PRODUCTS VONS CO INC,90040JRSYM3361S,2019,90040,"COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1319217919051,311 Food,311511 Fluid Milk Manufacturing,SAFEWAY INC,       ,5.00,5.00,0.00,0.00,0.00,"12,236.00",0
JERSEYMAID MILK PRODUCTS VONS CO INC,90040JRSYM3361S,2020,90040,"COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1320219306065,311 Food,311511 Fluid Milk Manufacturing,SAFEWAY INC,       ,5.00,5.00,0.00,0.00,0.00,"13,288.00",0
JOSLYN SUNBANK CO LLC,93446SNBNK1740C,2018,93446,"PASO ROBLES, CA","SAN LUIS OBISPO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1318217296401,335 Electrical Equipment,335932 Noncurrent-Carrying Wiring Device Manufacturing,EATON CORP,       ,5.00,5.00,0.00,0.00,0.00,"41,810.00",0
JOSLYN SUNBANK CO LLC,93446SNBNK1740C,2019,93446,"PASO ROBLES, CA","SAN LUIS OBISPO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1319218159200,335 Electrical Equipment,335932 Noncurrent-Carrying Wiring Device Manufacturing,EATON CORP,       ,5.00,5.00,0.00,0.00,0.00,"41,810.00",0
JOSLYN SUNBANK CO LLC,93446SNBNK1740C,2020,93446,"PASO ROBLES, CA","SAN LUIS OBISPO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1320218853455,335 Electrical Equipment,335932 Noncurrent-Carrying Wiring Device Manufacturing,EATON CORP,       ,5.00,5.00,0.00,0.00,0.00,"19,973.00",0
K2 PURE SOLUTIONS NOCAL LP,9456WKPRSL95LVE,2020,94565,"PITTSBURG, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Hydrochloric acid (7647-01-0),1320219008240,325 Chemicals,325180 Other Basic Inorganic Chemical Manufacturing,NA,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
KAGA (USA) INC,92708KGSNC11215,2018,92704,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Trichloroethylene (79-01-6),1318216833931,332 Fabricated Metals,"332119 Metal Crown, Closure, and Other Metal Stamping (except Automotive)",NA,       ,5.00,5.00,0.00,0.00,0.00,"15,412.70",67
KAGA (USA) INC,92708KGSNC11215,2019,92704,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Trichloroethylene (79-01-6),1319217808233,332 Fabricated Metals,"332119 Metal Crown, Closure, and Other Metal Stamping (except Automotive)",NA,       ,5.00,5.00,0.00,0.00,0.00,"18,092.00",67
KAGA (USA) INC,92708KGSNC11215,2020,92704,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1320219041391,332 Fabricated Metals,"332119 Metal Crown, Closure, and Other Metal Stamping (except Automotive)",NA,       ,5.00,5.00,0.00,0.00,0.00,"12,005.00","4,233"
KAGA (USA) INC,92708KGSNC11215,2020,92704,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Trichloroethylene (79-01-6),1320219041389,332 Fabricated Metals,"332119 Metal Crown, Closure, and Other Metal Stamping (except Automotive)",NA,       ,5.00,5.00,0.00,0.00,0.00,"16,752.50",67
MAGNUSON SUPERCHARGERS,9300WMGNSN199KN,2020,93003,"VENTURA, CA","VENTURA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diisocyanates (N120),1320218680270,336 Transportation Equipment,336350 Motor Vehicle Transmission and Power Train Parts Manufacturing,NA,       ,5.00,0.00,0.00,5.00,0.00,5.00,0
NASCO AIRCRAFT BRAKE INC,90248NSCRC133ES,2018,90248,"GARDENA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1318216817205,336 Transportation Equipment,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing,MEGGITT USA INC,       ,5.00,5.00,0.00,0.00,0.00,5.00,9
NASCO AIRCRAFT BRAKE INC,90248NSCRC133ES,2019,90248,"GARDENA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1319217889385,336 Transportation Equipment,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing,MEGGITT USA INC,       ,5.00,5.00,0.00,0.00,0.00,10.00,9
NUTRIEN AG SOLUTIONS,93201WSTRN3201A,2018,93201,"ALPAUGH, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217171584,325 Chemicals,325314 Fertilizer (Mixing Only) Manufacturing,NUTRIEN,       ,5.00,0.00,0.00,5.00,0.00,6.00,0
PACIFIC FORGE INC,92337FCFCF1641E,2019,92337,"FONTANA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1319218140945,332 Fabricated Metals,332111 Iron and Steel Forging,AVIS INDUSTRIAL CORP,       ,5.00,0.00,5.00,0.00,0.00,"19,057.00",0
PALL FILTRATION & SEPARATIONS GROUP INC,92121SFFLT4116S,2018,92121,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",N-methyl-2-pyrrolidone (872-50-4),1318217261229,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DANAHER CORP,       ,5.00,5.00,0.00,0.00,0.00,"128,436.00",0
PALL FILTRATION & SEPARATIONS GROUP INC,92121SFFLT4116S,2018,92121,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","N,N-Dimethylformamide (68-12-2)",1318217261217,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DANAHER CORP,       ,5.00,5.00,0.00,0.00,0.00,"169,624.00",1
PALL FILTRATION & SEPARATIONS GROUP INC,92121SFFLT4116S,2019,92121,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",N-methyl-2-pyrrolidone (872-50-4),1319217836434,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DANAHER CORP,       ,5.00,5.00,0.00,0.00,0.00,"67,915.00",0
PALL FILTRATION & SEPARATIONS GROUP INC,92121SFFLT4116S,2019,92121,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","N,N-Dimethylformamide (68-12-2)",1319217836422,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DANAHER CORP,       ,5.00,5.00,0.00,0.00,0.00,"196,540.00",96
PALL FILTRATION & SEPARATIONS GROUP INC,92121SFFLT4116S,2020,92121,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",N-methyl-2-pyrrolidone (872-50-4),1320219083476,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DANAHER CORP,       ,5.00,5.00,0.00,0.00,0.00,"56,364.00",0
PALL FILTRATION & SEPARATIONS GROUP INC,92121SFFLT4116S,2020,92121,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","N,N-Dimethylformamide (68-12-2)",1320219083464,326 Plastics and Rubber,326113 Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DANAHER CORP,       ,5.00,5.00,0.00,0.00,0.00,"161,078.00",79
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,90748NCLLS1660W,2018,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Polycyclic aromatic compounds (N590),1318217363973,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,5.00,5.00,0.00,0.00,0.00,5.00,261
PINNACLE PREMIX,9329WPNNCL719WS,2019,93291,"VISALIA, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium compounds (N090),1319218083653,311 Food,311119 Other Animal Food Manufacturing,NA,       ,5.00,0.00,0.00,0.00,5.00,5.00,0
PRODUCERS DAIRY FOODS INC,94589FRFLD8001R,2020,94534,"FAIRFIELD, CA","SOLANO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1320219316217,311 Food,311511 Fluid Milk Manufacturing,PRODUCERS DAIRY,       ,5.00,5.00,0.00,0.00,0.00,"34,703.40",0
ROYAL CIRCUIT SOLUTIONS INC,9502WRYLCR21HAM,2018,95023,"HOLLISTER, CA","SAN BENITO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper and copper compounds (N100),1318217477140,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,0.00,0.00,0.00,5.00,"18,892.00",0
SAFEWAY MILK PLANT,94577SFWYS2000A,2018,94577,"SAN LEANDRO, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1318217212861,311 Food,311511 Fluid Milk Manufacturing,SAFEWAY INC,       ,5.00,5.00,0.00,0.00,0.00,"50,367.00",0
SAFEWAY MILK PLANT,94577SFWYS2000A,2019,94577,"SAN LEANDRO, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1319217927375,311 Food,311511 Fluid Milk Manufacturing,SAFEWAY INC,       ,5.00,5.00,0.00,0.00,0.00,"49,429.00",0
SAFEWAY MILK PLANT,94577SFWYS2000A,2020,94577,"SAN LEANDRO, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1320219306255,311 Food,311511 Fluid Milk Manufacturing,SAFEWAY INC,       ,5.00,5.00,0.00,0.00,0.00,"76,081.00",0
SIERRA CIRCUITS INC (DBA SIERRA PROTO EXPRESS),94086SRRPR1108W,2018,94086,"SUNNYVALE, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1318217527237,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,5.00,0.00,0.00,0.00,"13,682.00",1
SIERRA CIRCUITS INC (DBA SIERRA PROTO EXPRESS),94086SRRPR1108W,2020,94086,"SUNNYVALE, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1320219337540,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,5.00,0.00,0.00,0.00,5.00,1
SMARK CO,9028WSMRKC8636T,2018,90280,"SOUTH GATE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1318217446626,325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,NA,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
SMARK CO,9028WSMRKC8636T,2019,90280,"SOUTH GATE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1319218515017,325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,NA,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
SPS TECHNOLOGIES LLC DBA PB FASTENERS,90249PBFST1700W,2019,90249,"GARDENA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium (7440-47-3),1319218200879,332 Fabricated Metals,"332722 Bolt, Nut, Screw, Rivet, and Washer Manufacturing",BERKSHIRE HATHAWAY INC,       ,5.00,0.00,0.00,0.00,5.00,"28,114.00",0
SUMMIT INTERCONNECT INC ORANGE,92665MRCLL230BR,2020,92865,"ORANGE, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1320219188810,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,0.00,5.00,0.00,0.00,"30,841.00",0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cumene (98-82-8),1318217234715,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,5.00,2.00,0.00,0.00,3.00,5.00,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene (74-85-1),1318217234475,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1318217060058,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,5.00,5.00,0.00,0.00,0.00,5.00,41
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Phenol (108-95-2),1318217234855,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2019,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene (74-85-1),1319218142786,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2020,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene (74-85-1),1320219061518,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
TRANSENE CO OAKLAND,9462WTRNSN11275,2019,94621,"OAKLAND, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Hydrogen fluoride (7664-39-3),1319217620261,325 Chemicals,325180 Other Basic Inorganic Chemical Manufacturing,TRANSENE CO INC,       ,5.00,5.00,0.00,0.00,0.00,5.00,0
ULTRAMAR INC WILMINGTON REFINERY,90748NNPCF2402E,2020,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Tetrachloroethylene (Perchloroethylene) (127-18-4),1320219260054,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,5.00,5.00,0.00,0.00,0.00,5.00,3
UNIVAR SOLUTIONS CARSON CA,90810SHLND20915,2018,90810,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1318216933073,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,UNIVAR SOLUTIONS USA INC,       ,5.00,5.00,0.00,0.00,0.00,"5,485.00",0
US MINT SAN FRANCISCO CA,94102SMNTT155HE,2019,94102,"SAN FRANCISCO, CA","SAN FRANCISCO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Manganese (7439-96-5),1319217733474,332 Fabricated Metals,"332119 Metal Crown, Closure, and Other Metal Stamping (except Automotive)",US DEPARTMENT OF THE TREASURY,DTR,5.00,0.00,0.00,0.00,5.00,"1,662.00",0
VALERO WILMINGTON ASPHALT PLANT,90744HNTWY1651A,2020,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1320219259658,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,5.00,5.00,0.00,0.00,0.00,7.00,22
VALEX CORP,93003VLXCR6080L,2020,93003,"VENTURA, CA","VENTURA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium compounds (N090),1320219086954,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",RELIANCE STEEL & ALUMINUM CO,       ,5.00,0.00,0.00,0.00,5.00,5.00,27
VALEX CORP,93003VLXCR6080L,2020,93003,"VENTURA, CA","VENTURA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel compounds (N495),1320219086966,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",RELIANCE STEEL & ALUMINUM CO,       ,5.00,0.00,0.00,0.00,5.00,5.00,0
VALLEY SYNCOM CIRCUITS INC,91355VKLLY2494A,2018,91355,"SANTA CLARITA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper and copper compounds (N100),1318216732824,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,0.00,0.00,0.00,5.00,255.00,0
VALLEY SYNCOM CIRCUITS INC,91355VKLLY2494A,2019,91355,"SANTA CLARITA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper and copper compounds (N100),1319217738626,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,0.00,0.00,0.00,5.00,255.00,0
VALLEY SYNCOM CIRCUITS INC,91355VKLLY2494A,2020,91355,"SANTA CLARITA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1320218655379,334 Computers and Electronic Products,334412 Bare Printed Circuit Board Manufacturing,NA,       ,5.00,0.00,0.00,0.00,5.00,255.00,0
EL CAJON PLANT 29,9202WLCJNP215CY,2020,92020,"EL CAJON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1320218652016,327 Nonmetallic Mineral Product,327320 Ready-Mix Concrete Manufacturing,MCC DEVELOPMENT CORP,       ,4.98,2.61,0.00,2.37,0.00,30.52,26
VSPONE OPTICAL TECHNOLOGY CENTERS SACRAMENTO,9563WVSPNP151BL,2018,95630,"FOLSOM, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1318219400544,339 Miscellaneous Manufacturing,339115 Ophthalmic Goods Manufacturing,                                                              ,       ,4.95,0.95,0.00,0.00,4.00,4.95,8
US BATTERY MFG CO,91719SBTTR1675S,2018,92879,"CORONA, CA","RIVERSIDE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1318216676561,335 Electrical Equipment,335911 Storage Battery Manufacturing,PALOS VERDES BUILDING CORP,       ,4.95,4.80,0.15,0.00,0.00,"618,004.95",58
DEMENNOKERDOON DBA WORLD OIL RECYCLING,90222DMNNK2000N,2020,90222,"COMPTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,2,4-Trimethylbenzene (95-63-6)",1320218950804,324 Petroleum,324191 Petroleum Lubricating Oil and Grease Manufacturing,WORLD OIL CORP,       ,4.92,4.92,0.00,0.00,0.00,"224,759.67",2
ROBERTSON'S READY MIX SANTA ANA PLANT 17,9270WRBRTS31NTW,2020,92703,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1320218656229,327 Nonmetallic Mineral Product,327320 Ready-Mix Concrete Manufacturing,ROBERTSONS READY MIX LTD,       ,4.92,2.58,0.00,2.34,0.00,30.11,83
SPS TECHNOLOGIES LLC DBA PB FASTENERS,90249PBFST1700W,2020,90249,"GARDENA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium (7440-47-3),1320218933214,332 Fabricated Metals,"332722 Bolt, Nut, Screw, Rivet, and Washer Manufacturing",BERKSHIRE HATHAWAY INC,       ,4.91,0.00,0.00,0.00,4.91,"20,581.52",0
BORAL ROOFING - CORONA,92882STLC0909RA,2020,92882,"CORONA, CA","RIVERSIDE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1320218958041,327 Nonmetallic Mineral Product,327120 Clay Building Material and Refractories Manufacturing,BORAL USA,       ,4.90,4.90,0.00,0.00,0.00,39.90,28
